feature_number,old_column_name,new_column_name,feature_group,meaning,note
1,edge_texture_feature_001,feature_001_edge_pattern,Edge / Texture,edge pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
2,edge_texture_feature_002,feature_002_vertical_edge,Edge / Texture,vertical edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
3,edge_texture_feature_003,feature_003_horizontal_edge,Edge / Texture,horizontal edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
4,edge_texture_feature_004,feature_004_diagonal_edge,Edge / Texture,diagonal edge,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
5,edge_texture_feature_005,feature_005_corner_pattern,Edge / Texture,corner pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
6,edge_texture_feature_006,feature_006_texture_pattern,Edge / Texture,texture pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
7,edge_texture_feature_007,feature_007_surface_roughness,Edge / Texture,surface roughness,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
8,edge_texture_feature_008,feature_008_smooth_surface,Edge / Texture,smooth surface,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
9,edge_texture_feature_009,feature_009_sharpness_cue,Edge / Texture,sharpness cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
10,edge_texture_feature_010,feature_010_blur_pattern,Edge / Texture,blur pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
11,edge_texture_feature_011,feature_011_contrast_cue,Edge / Texture,contrast cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
12,edge_texture_feature_012,feature_012_dark_light_boundary,Edge / Texture,dark-light boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
13,edge_texture_feature_013,feature_013_object_boundary,Edge / Texture,object boundary,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
14,edge_texture_feature_014,feature_014_body_outline,Edge / Texture,body outline,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
